priority,non_priority,dynamic_price,static_price
1,1,0.1,10
1,2,0.18,10
1,3,0.26,10
1,4,0.34,10
1,5,0.42,10
1,6,0.5,10
1,7,0.58,10
1,8,0.66,10
1,9,0.74,10
1,10,0.82,10
1,11,0.9,10
1,12,0.98,10
1,13,1.06,10
1,14,1.14,10
1,15,1.22,10
1,16,1.3,10
1,17,1.38,10
1,18,1.46,10
1,19,1.54,10
1,20,1.62,10
1,21,1.7,10
1,22,1.78,10
1,23,1.86,10
1,24,1.94,10
1,25,2.02,10
1,26,2.1,10
1,27,2.18,10
1,28,2.26,10
1,29,2.34,10
1,30,2.42,10
1,31,2.5,10
1,32,2.58,10
1,33,2.66,10
1,34,2.74,10
1,35,2.82,10
1,36,2.9,10
1,37,2.98,10
1,38,3.06,10
1,39,3.14,10
1,40,3.22,10
1,41,3.3,10
1,42,3.38,10
1,43,3.46,10
1,44,3.54,10
1,45,3.62,10
1,46,3.7,10
1,47,3.78,10
1,48,3.86,10
1,49,3.94,10
1,50,4.02,10
1,51,4.1,10
1,52,4.18,10
1,53,4.26,10
1,54,4.34,10
1,55,4.42,10
1,56,4.5,10
1,57,4.58,10
1,58,4.66,10
1,59,4.74,10
1,60,4.82,10
2,1,0.12,10
2,2,0.2,10
2,3,0.28,10
2,4,0.36,10
2,5,0.44,10
2,6,0.52,10
2,7,0.6,10
2,8,0.68,10
2,9,0.76,10
2,10,0.84,10
2,11,0.92,10
2,12,1,10
2,13,1.08,10
2,14,1.16,10
2,15,1.24,10
2,16,1.32,10
2,17,1.4,10
2,18,1.48,10
2,19,1.56,10
2,20,1.64,10
2,21,1.72,10
2,22,1.8,10
2,23,1.88,10
2,24,1.96,10
2,25,2.04,10
2,26,2.12,10
2,27,2.2,10
2,28,2.28,10
2,29,2.36,10
2,30,2.44,10
2,31,2.52,10
2,32,2.6,10
2,33,2.68,10
2,34,2.76,10
2,35,2.84,10
2,36,2.92,10
2,37,3,10
2,38,3.08,10
2,39,3.16,10
2,40,3.24,10
2,41,3.32,10
2,42,3.4,10
2,43,3.48,10
2,44,3.56,10
2,45,3.64,10
2,46,3.72,10
2,47,3.8,10
2,48,3.88,10
2,49,3.96,10
2,50,4.04,10
2,51,4.12,10
2,52,4.2,10
2,53,4.28,10
2,54,4.36,10
2,55,4.44,10
2,56,4.52,10
2,57,4.6,10
2,58,4.68,10
2,59,4.76,10
2,60,4.84,10
3,1,0.14,10
3,2,0.22,10
3,3,0.3,10
3,4,0.38,10
3,5,0.46,10
3,6,0.54,10
3,7,0.62,10
3,8,0.7,10
3,9,0.78,10
3,10,0.86,10
3,11,0.94,10
3,12,1.02,10
3,13,1.1,10
3,14,1.18,10
